filename,bandname,wavelength,time,sunsensor_sun_angle_degree,sunsensor_nadir_angle_degree,sun_irradiance
1.JPG,Red,660,0.000000,,,
1.JPG,Green,550.000000,0.000000,,,
1.JPG,Blue,470.000000,0.000000,,,
2.JPG,Red,660.000000,1552454460.077000,,,
2.JPG,Green,550.000000,1552454460.077000,,,
2.JPG,Blue,470.000000,1552454460.077000,,,
3.JPG,Red,660.000000,1552454512.023000,,,
3.JPG,Green,550.000000,1552454512.023000,,,
3.JPG,Blue,470.000000,1552454512.023000,,,
4.JPG,Red,660.000000,1552454564.049000,,,
4.JPG,Green,550.000000,1552454564.049000,,,
4.JPG,Blue,470.000000,1552454564.049000,,,
5.JPG,Red,660.000000,1552454623.066000,,,
5.JPG,Green,550.000000,1552454623.066000,,,
5.JPG,Blue,470.000000,1552454623.066000,,,
6.JPG,Red,660.000000,1552454663.046000,,,
6.JPG,Green,550.000000,1552454663.046000,,,
6.JPG,Blue,470.000000,1552454663.046000,,,
7.JPG,Red,660.000000,1552454696.014000,,,
7.JPG,Green,550.000000,1552454696.014000,,,
7.JPG,Blue,470.000000,1552454696.014000,,,
8.JPG,Red,660.000000,1552454728.063000,,,
8.JPG,Green,550.000000,1552454728.063000,,,
8.JPG,Blue,470.000000,1552454728.063000,,,
9.JPG,Red,660.000000,1552454747.045000,,,
9.JPG,Green,550.000000,1552454747.045000,,,
9.JPG,Blue,470.000000,1552454747.045000,,,
10.JPG,Red,660.000000,1552454769.019000,,,
10.JPG,Green,550.000000,1552454769.019000,,,
10.JPG,Blue,470.000000,1552454769.019000,,,
11.JPG,Red,660.000000,1552454802.091000,,,
11.JPG,Green,550.000000,1552454802.091000,,,
11.JPG,Blue,470.000000,1552454802.091000,,,
13.JPG,Red,660.000000,1552454824.076000,,,
13.JPG,Green,550.000000,1552454824.076000,,,
13.JPG,Blue,470.000000,1552454824.076000,,,
14.JPG,Red,660.000000,1552454873.020000,,,
14.JPG,Green,550.000000,1552454873.020000,,,
14.JPG,Blue,470.000000,1552454873.020000,,,
15.JPG,Red,660.000000,1552455099.048000,,,
15.JPG,Green,550.000000,1552455099.048000,,,
15.JPG,Blue,470.000000,1552455099.048000,,,
16.JPG,Red,660.000000,1552455189.030000,,,
16.JPG,Green,550.000000,1552455189.030000,,,
16.JPG,Blue,470.000000,1552455189.030000,,,
17.JPG,Red,660.000000,1552455212.093000,,,
17.JPG,Green,550.000000,1552455212.093000,,,
17.JPG,Blue,470.000000,1552455212.093000,,,
22.JPG,Red,660.000000,1552455553.094000,,,
22.JPG,Green,550.000000,1552455553.094000,,,
22.JPG,Blue,470.000000,1552455553.094000,,,
24.JPG,Red,660.000000,1552455632.050000,,,
24.JPG,Green,550.000000,1552455632.050000,,,
24.JPG,Blue,470.000000,1552455632.050000,,,
25.JPG,Red,660.000000,1552455654.015000,,,
25.JPG,Green,550.000000,1552455654.015000,,,
25.JPG,Blue,470.000000,1552455654.015000,,,
26.JPG,Red,660.000000,1552455675.095000,,,
26.JPG,Green,550.000000,1552455675.095000,,,
26.JPG,Blue,470.000000,1552455675.095000,,,
27.JPG,Red,660.000000,1552455694.091000,,,
27.JPG,Green,550.000000,1552455694.091000,,,
27.JPG,Blue,470.000000,1552455694.091000,,,
28.JPG,Red,660.000000,1552455710.094000,,,
28.JPG,Green,550.000000,1552455710.094000,,,
28.JPG,Blue,470.000000,1552455710.094000,,,
29.JPG,Red,660.000000,1552455795.074000,,,
29.JPG,Green,550.000000,1552455795.074000,,,
29.JPG,Blue,470.000000,1552455795.074000,,,
